koala_id,region,habitat,gender,age_in_years,Paw Size,total_length,head_length,ear_size,foot_length,skull_width,eye_diameter,chest_circumference,belly_circumference
3,1.0,victoria,female,6.0,19.0,83.5,19.0,16.9,25.4,15.0,2.5,65.0,59.0
4,1.0,victoria,female,6.0,18.0,80.0,18.2,17.2,26.1,12.1,2.2,63.0,59.0
5,1.0,victoria,female,2.0,16.0,73.5,16.5,18.2,21.0,11.3,2.1,63.5,58.0
6,1.0,victoria,female,1.0,15.5,78.5,18.1,18.6,23.2,9.8,1.2,65.0,57.0
7,1.0,victoria,male,2.0,16.0,77.5,20.3,17.0,21.5,13.2,1.2,65.0,59.5
9,1.0,victoria,female,9.0,17.0,79.5,18.4,17.9,22.4,11.3,2.5,63.0,58.0
10,1.0,victoria,female,6.0,17.5,77.5,16.8,18.4,20.9,13.0,1.4,62.5,57.0
11,1.0,victoria,female,9.0,19.0,77.5,18.3,16.3,27.2,12.2,1.9,66.0,59.0
12,1.0,victoria,female,5.0,15.5,80.0,19.9,16.0,21.7,10.6,2.3,63.0,58.0
13,1.0,victoria,male,5.0,16.0,77.5,20.1,14.8,21.0,14.9,2.8,62.0,57.0
14,1.0,victoria,male,3.0,16.0,79.5,20.4,18.7,24.3,12.6,2.1,63.0,56.5
15,1.0,victoria,male,5.0,14.0,73.5,17.9,16.8,19.7,120.6,2.7,63.0,60.0
16,1.0,victoria,male,4.0,14.5,74.0,16.6,16.4,23.0,11.0,1.4,63.0,57.0
17,1.0,victoria,female,1.0,16.5,77.5,19.7,18.2,23.2,22.7,1.7,64.0,56.0
18,1.0,victoria,male,2.0,16.0,78.0,18.5,20.4,23.7,10.7,2.3,63.0,57.0
20,1.0,victoria,female,4.0,18.0,77.0,19.8,17.4,23.8,11.3,2.5,62.0,61.0
21,1.0,victoria,female,3.0,19.5,84.5,20.9,17.9,27.9,13.1,1.2,65.0,65.0
22,1.0,victoria,male,3.0,19.5,79.0,21.3,17.1,23.5,13.5,3.2,63.0,61.0
23,1.0,victoria,female,4.0,16.0,77.0,17.5,18.3,22.8,11.1,2.4,63.0,60.0
24,1.0,victoria,male,2.0,14.0,72.0,19.4,18.5,25.0,9.9,3.2,62.0,57.0
26,1.0,victoria,male,7.0,16.0,78.0,21.0,21.2,23.6,14.0,2.0,64.0,63.0
27,1.0,victoria,female,2.0,15.0,73.0,15.5,15.8,20.3,9.5,1.2,58.0,53.0
28,1.0,victoria,male,4.0,14.5,75.0,18.8,18.0,23.2,11.8,2.3,62.0,55.0
29,1.0,victoria,female,3.0,15.0,76.0,17.8,16.8,24.9,11.0,1.0,59.0,57.0
30,1.0,victoria,female,2.0,13.5,72.0,17.1,15.8,20.6,9.4,1.5,59.5,58.0
31,1.0,victoria,male,3.0,17.0,81.0,17.8,17.5,18.0,9.1,1.5,62.0,56.0
32,1.0,victoria,female,4.0,19.0,82.0,19.3,17.0,24.8,11.7,1.9,63.0,59.0
33,1.0,victoria,male,3.0,17.0,77.0,16.4,16.8,20.8,9.6,1.8,59.0,55.0
34,2.0,victoria,male,2.0,16.5,73.5,15.6,18.1,23.1,10.7,1.4,61.0,53.5
35,2.0,victoria,male,4.0,15.5,73.0,19.4,20.5,21.2,12.9,3.4,63.0,60.5
36,2.0,victoria,male,7.0,15.0,76.0,18.3,17.0,24.3,14.3,1.9,60.5,61.0
38,2.0,victoria,male,7.0,15.5,68.5,17.4,14.5,18.4,11.0,2.9,62.0,55.0
39,2.0,victoria,female,1.0,14.0,63.0,9.7,18.4,18.7,6.5,0.5,60.0,50.0
