koala_id,region,habitat,gender,age_in_years,Paw Size,total_length,head_length,ear_size,foot_length,skull_width,eye_diameter,chest_circumference,belly_circumference
1,,VIC,f,6,19,83.5,,,,,,,61
2,,,,,,,,,,,,,58
3,1,VIC,f,6,19,83.5,19,16.9,25.4,15,2.5,65,59
4,1,VIC,f,6,18,80,18.2,17.2,26.1,12.1,2.2,63,59
5,1,VIC,f,2,16,73.5,16.5,18.2,21,11.3,2.1,63.5,58
6,1,VIC,f,1,15.5,78.5,18.1,18.6,23.2,9.8,1.2,65,57
7,1,VIC,m,2,16,77.5,20.3,17,21.5,13.2,1.2,65,59.5
8,1,VIC,f,6,,,,,,,,64,59
9,1,VIC,f,9,17,79.5,18.4,17.9,22.4,11.3,2.5,63,58
10,1,VIC,f,6,17.5,77.5,16.8,18.4,20.9,13,1.4,62.5,57
11,1,VIC,f,9,19,77.5,18.3,16.3,27.2,12.2,1.9,66,59
12,1,VICtoria,f,5,15.5,80,19.9,16,21.7,10.6,2.3,63,58
13,1,VIC,m,5,16,77.5,20.1,14.8,21,14.9,2.8,62,57
14,1,VIC,m,3,16,79.5,20.4,18.7,24.3,12.6,2.1,63,56.5
15,1,VIC,m,5,14,73.5,17.9,16.8,19.7,120.6,2.7,63,60
16,1,VIC,m,4,14.5,74,16.6,16.4,23,11,1.4,63,57
17,1,VIC,f,1,16.5,77.5,19.7,18.2,23.2,22.7,1.7,64,56
18,1,VIC,m,2,16,78,18.5,20.4,23.7,10.7,2.3,63,57
19,1,,,,,,19.4,18.9,23.4,10.4,2.2,63,57
20,1,VIC,f,4,18,77,19.8,17.4,23.8,11.3,2.5,62,61
21,1,Vic,f,3,19.5,84.5,20.9,17.9,27.9,13.1,1.2,65,65
22,1,VIC,m,3,19.5,79,21.3,17.1,23.5,13.5,3.2,63,61
23,1,VIC,f,4,16,77,17.5,18.3,22.8,11.1,2.4,63,60
24,1,VIC,m,2,14,72,19.4,18.5,25,9.9,3.2,62,57
25,1,VIC,m,3,15.5,79.5,,,,,,,60
26,1,VIC,m,7,16,78,21,21.2,23.6,14,2,64,63
27,1,VIC,f,2,15,73,15.5,15.8,20.3,9.5,1.2,58,53
28,1,VIC,m,4,14.5,75,18.8,18,23.2,11.8,2.3,62,55
29,1,VIC,f,3,15,76,17.8,16.8,24.9,11,1,59,57
30,1,VIC,f,2,13.5,72,17.1,15.8,20.6,9.4,1.5,59.5,58
31,1,VIC,m,3,17,81,17.8,17.5,18,9.1,1.5,62,56
32,1,VIC,f,4,19,82,19.3,17,24.8,11.7,1.9,63,59
33,1,VIC,m,3,17,77,16.4,16.8,20.8,9.6,1.8,59,55
34,2,VIC,m,2,16.5,73.5,15.6,18.1,23.1,10.7,1.4,61,53.5
35,2,VIC,m,4,15.5,73,19.4,20.5,21.2,12.9,3.4,63,60.5
36,2,VIC,m,7,15,76,18.3,17,24.3,14.3,1.9,60.5,61
37,2,,,,,,,,,9.8,0.8,63,56.5
38,2,VIC,m,7,15.5,68.5,17.4,14.5,18.4,11,2.9,62,55
39,2,VIC,f,1,14,63,9.7,18.4,18.7,6.5,0.5,60,50
40,2,VIC,f,3,16,72.5,16,16.4,22.8,10,0.8,62,55
41,2,VIC,f,5,16.5,71,13.4,5.3,,12,2.9,62,55.5
42,2,VIC,m,3,12,65,10.3,16.2,12.7,9.1,0.8,60.5,58
43,2,VIC,female,2,12,69,15,14.4,22,10.5,0.6,64,56
44,2,VIC,m,NA,15.5,64,10.1,17.6,20.3,6.5,1.4,58,52
45,2,VIC,m,3,14,69,15.7,19,21.5,10.9,1.6,62,56.5
46,2,VIC,m,NA,15,72,16.4,16.2,22.8,9.4,1.4,59.5,60
47,3,QLD,m,2,17.5,77,15.1,10.5,16,9.8,2,60,58
48,3,QLD,m,5,14,73,23.6,9.9,16.9,18.2,4,63,60
49,3,QLD,m,4,17,73,20.4,10,19,14.2,2.9,64.5,60.5
50,3,QLD,f,5,18,76,16.6,12.2,15,11.4,1.9,63,61
51,3,QLD,f,5,16,73,20.6,8.9,14,14.6,4.4,63,63.5
52,3,Queensland,m,6,,,,,,,,63.5,57.5
53,3,QLD,f,3,18,79,18.1,11,17.4,13.1,3.5,61,58.5
54,4,QLD,m,7,23,79.5,21.9,11,21.3,18,400.5,65,61.5
55,4,QLD,male,2,18,80.5,28.1,9.9,22.5,18.2,3.4,65.5,61
56,4,QLD,m,3,18,81.7,24.9,11.8,18.7,16.5,3.4,62.5,56.5
57,4,QLD,f,4,21,81,20.1,10.3,17.2,14.4,1.5,66,64
58,4,QLD,m,3,19,79,19.5,110.4,16.5,19.2,1.4,65.5,58
59,4,QLD,m,2,20,84,27.5,9.5,23.2,17.8,1.7,67,61
60,4,QLD,f,2,19,76,16.3,12,13.1,12.7,1.4,61,55
61,5,QLD,m,7,18,74,20.7,9.9,13.1,14,2,61.5,56
62,5,QLD,f,3,19,78.5,16.3,6.3,15.5,13,3,62,57
